时间,事件,用户名,用户组,用户类型,认证方式,IP地址,终端MAC,接入点,接入点分组,接入网络, 虚拟局域网,角色,计算机名,终端类型,网卡厂商
="2019-02-12 08:52:21","接入","38-37-8B-49-B8-63","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","-","38-37-8B-49-B8-63","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","其他","HUAWEI TECHNOLOGIES CO.,LTD"
="2019-02-12 08:55:52","接入","00-CD-FE-39-D8-6B","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","-","00-CD-FE-39-D8-6B","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","其他","Apple, Inc."
="2019-02-12 08:56:17","接入","64-9A-BE-4B-1E-D8","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","-","64-9A-BE-4B-1E-D8","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","其他","Apple, Inc."
="2019-02-12 08:56:41","接入","00-CD-FE-39-D8-6B","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","-","00-CD-FE-39-D8-6B","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","苹果移动终端","Apple, Inc."
="2019-02-12 08:56:48","接入","00-CD-FE-39-D8-6B","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","192.168.0.202","00-CD-FE-39-D8-6B","BJAP03","Beijing","Brenntag-Guest","192","默认角色","iPhone-3","苹果移动终端","Apple, Inc."
="2019-02-12 09:00:18","接入","A4-12-32-01-87-E1","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","-","A4-12-32-01-87-E1","BJAP01","Beijing","Brenntag-Guest","192","默认角色","-","其他","GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD"
="2019-02-12 09:00:35","接入","94-E9-6A-47-AF-AF","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","-","94-E9-6A-47-AF-AF","BJAP01","Beijing","Brenntag-Guest","192","默认角色","-","其他","Apple, Inc."
="2019-02-12 09:01:43","接入","B8-C1-11-08-32-BC","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","-","B8-C1-11-08-32-BC","BJAP02","Beijing","Brenntag-Guest","192","默认角色","-","其他","Apple, Inc."
="2019-02-12 09:01:48","接入","08-F4-AB-69-A2-58","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","-","08-F4-AB-69-A2-58","BJAP02","Beijing","Brenntag-Guest","192","默认角色","-","其他","Apple, Inc."
="2019-02-12 09:01:50","接入","B8-C1-11-08-32-BC","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","192.168.0.206","B8-C1-11-08-32-BC","BJAP02","Beijing","Brenntag-Guest","192","默认角色","Daniels-iphone","苹果移动终端","Apple, Inc."
="2019-02-12 09:02:09","接入","B8-C1-11-08-32-BC","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","192.168.0.206","B8-C1-11-08-32-BC","BJAP03","Beijing","Brenntag-Guest","192","默认角色","Daniels-iphone","苹果移动终端","Apple, Inc."
="2019-02-12 09:02:39","接入","B8-C1-11-08-32-BC","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","192.168.0.206","B8-C1-11-08-32-BC","BJAP03","Beijing","Brenntag-Guest","192","默认角色","Daniels-iphone","苹果移动终端","Apple, Inc."
="2019-02-12 09:03:01","接入","00-CD-FE-44-0B-F4","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","-","00-CD-FE-44-0B-F4","BJAP01","Beijing","Brenntag-Guest","192","默认角色","-","其他","Apple, Inc."
="2019-02-12 09:04:20","接入","74-70-FD-47-26-24","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","-","74-70-FD-47-26-24","BJAP01","Beijing","Brenntag-Guest","192","默认角色","-","其他","Intel Corporate"
="2019-02-12 09:04:36","接入","70-F0-87-AC-27-6E","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","-","70-F0-87-AC-27-6E","BJAP03","Beijing","Brenntag-Guest","192","默认角色","-","其他","Apple, Inc."
="2019-02-12 09:04:37","接入","D4-25-8B-80-F6-92","/PSK认证组/","本地用户","WPA-PSK/WPA2-PSK(个人)","-","D4-25-8B-80-F6-92","BJAP01","Beijing","Brenntag-User","1","默认角色","-","Windows PC","Intel Corporate"
